sequence,len,coherence,sense_index,phi_s,grad_phi,k_phi,xi_c,phase_sync,epi_mag,hash
UM -> NAV -> ZHIR -> ZHIR -> NAV,5,0.0,0.0,0.0,-0.17508357575952394,0.09587445783950098,0.05647137158707449,0.022454192027715925,0.0,b28bc92eaab7ee23
AL -> SHA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02048702888369225,8ea4c40127207dd7
AL -> OZ,2,0.06292579418275313,-0.013440110755355117,0.07845422911787714,0.0,0.0,0.0,0.0,0.02425569500725855,946947c307c6bd2e
EN -> REMESH -> NUL -> REMESH -> IL -> IL -> SHA,7,0.05728942933486436,0.018761050316447814,-0.09122114868856956,0.0,0.0,0.0,0.0,0.0,2aba0f118ec63603
IL -> UM -> NUL -> THOL -> SHA,5,0.019424649652568293,0.008096263744804766,-0.03703345303844163,-0.4120386349200642,0.007146436319157462,0.15479074269329007,0.08861878457005412,0.0,9e62c43708c44bb1
RA -> REMESH -> EN -> OZ -> OZ -> OZ -> NUL -> VAL -> OZ,9,0.013788606623162836,-0.04468278119649649,0.23803053138843977,0.0,0.0,0.0,0.0,0.0,c825bb887eb4a173
AL -> OZ -> SHA -> AL -> OZ,5,0.035519250638921585,-0.024918912536382676,0.15948452920942613,0.0,0.0,0.0,0.0,0.0066269776727290175,d20fffe65721efe6
AL -> SHA -> UM -> REMESH -> REMESH,5,0.0,0.0,0.0,-0.48706710138376597,-0.06518353756213871,0.19304568484667062,0.07059342412262237,0.00047571564922299636,e9c20baf14b26a37
UM -> SHA -> NAV -> NAV -> REMESH,5,0.0,0.0,0.0,-0.2454732828539843,-0.0185690074550876,0.08264708523015896,0.16301841183999488,0.0,4ff1cdc4bed3de38
UM -> IL -> VAL -> NUL -> NAV,5,0.017950377919869975,0.00817288284697526,-0.035145637794375406,-0.2626710918824018,-0.06800231063445107,0.08939518365038901,0.0759482563740097,0.0,b17e876c26164c6c
REMESH -> UM -> NUL -> VAL -> UM -> AL -> EN -> ZHIR -> SHA,9,0.0,0.0,0.0,-0.30034408515413014,-0.08607558126488331,0.10470060173197249,0.12733473648858373,0.004805498222788973,26fcb1a8b2c41078
AL -> AL -> REMESH,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369189793630178,55e42dca7e21a5b8
AL -> UM -> RA -> REMESH,4,0.0,0.0,0.0,-0.08300059509230184,0.11840379966857517,0.02537626900180201,0.05059237945589945,-0.012393765663161638,b1ea4913fd308035
AL -> VAL -> OZ -> OZ -> VAL -> RA -> REMESH,7,0.013673912819334944,-0.026079140633811226,0.16325380968873404,0.0,0.0,0.0,0.0,0.009802665181540826,defe547353f72bdc
OZ -> AL -> ZHIR -> OZ,4,0.12394173734744096,-0.024120326284864935,0.15597493978412047,0.0,0.0,0.0,0.0,-0.009191576051916783,9f16563eaf77d096
EN -> UM -> OZ,3,0.08296977815458939,-0.010442289491397139,0.06712766542648452,-0.11072711717923123,0.07204511953625292,0.03439277621213144,0.08360966327760422,0.0,f5f49652677d2e01
EN -> NAV -> UM -> NUL -> UM -> ZHIR -> SHA -> RA -> SHA,9,0.0,0.0,0.0,-0.43645694264117396,-0.012445057566729326,0.1667953593884508,0.1934161785123656,0.0,5d5ad604578d361e
